Date,year,month,Station,Bay,Species,Length,Weight
6/5/2019,2019,June,xxx,Cooks,walleye pollock,146,23.6892
9/30/2019,2019,June,xxx,Cooks,walleye pollock,214,74.84
7/17/2021,2021,July,314,Falmouth,walleye pollock,32,0.1237
7/15/2022,2022,July,412,Baralof,walleye pollock,117,13.2428
7/25/2022,2022,July,420,Rodman Reach,walleye pollock,43,0.5289
7/15/2022,2022,July,411,Baralof,walleye pollock,45,0.5014
7/4/2022,2022,July,381,Agripina,walleye pollock,37,0.2883
7/25/2022,2022,July,419,Rodman Reach,walleye pollock,47,0.648
7/25/2022,2022,July,419,Rodman Reach,walleye pollock,57,1.1251
7/25/2022,2022,July,419,Rodman Reach,walleye pollock,50,0.7954
7/25/2022,2022,July,419,Rodman Reach,walleye pollock,55,1.0356
7/25/2022,2022,July,419,Rodman Reach,walleye pollock,51,0.9411
7/12/2022,2022,July,404,Balboa,walleye pollock,33,0.2345
7/12/2022,2022,July,404,Balboa,walleye pollock,35,0.3189
7/12/2022,2022,July,404,Balboa,walleye pollock,36,0.3494
7/12/2022,2022,July,404,Balboa,walleye pollock,35,0.2876
7/12/2022,2022,July,404,Balboa,walleye pollock,46,0.6497
7/12/2022,2022,July,404,Balboa,walleye pollock,29,0.156
7/12/2022,2022,July,404,Balboa,walleye pollock,36,0.3401
7/12/2022,2022,July,404,Balboa,walleye pollock,30,0.1582
7/12/2022,2022,July,404,Balboa,walleye pollock,30,0.2391
7/12/2022,2022,July,404,Balboa,walleye pollock,33,0.2906
7/12/2022,2022,July,404,Balboa,walleye pollock,44,0.5514
7/12/2022,2022,July,404,Balboa,walleye pollock,30,0.2172
7/12/2022,2022,July,404,Balboa,walleye pollock,30,0.2078
7/12/2022,2022,July,404,Balboa,walleye pollock,37,0.2617
7/12/2022,2022,July,404,Balboa,walleye pollock,29,0.1753
7/12/2022,2022,July,405,Balboa,walleye pollock,47,0.7407
7/12/2022,2022,July,405,Balboa,walleye pollock,39,0.391
7/12/2022,2022,July,405,Balboa,walleye pollock,30,0.1787
7/12/2022,2022,July,405,Balboa,walleye pollock,43,0.4539
7/12/2022,2022,July,405,Balboa,walleye pollock,35,0.2957
7/12/2022,2022,July,405,Balboa,walleye pollock,39,0.428
7/12/2022,2022,July,405,Balboa,walleye pollock,37,0.2916
7/12/2022,2022,July,405,Balboa,walleye pollock,31,0.214
7/8/2022,2022,July,393,Mitrofania,walleye pollock,43,0.5862
7/8/2022,2022,July,393,Mitrofania,walleye pollock,44,0.645
7/8/2022,2022,July,393,Mitrofania,walleye pollock,45,0.7442
7/8/2022,2022,July,393,Mitrofania,walleye pollock,42,0.5918
7/8/2022,2022,July,393,Mitrofania,walleye pollock,43,0.6523
7/8/2022,2022,July,393,Mitrofania,walleye pollock,42,0.5188
7/8/2022,2022,July,393,Mitrofania,walleye pollock,40,0.5433
7/8/2022,2022,July,393,Mitrofania,walleye pollock,35,0.3959
7/8/2022,2022,July,393,Mitrofania,walleye pollock,36,0.331
7/8/2022,2022,July,393,Mitrofania,walleye pollock,40,0.4937
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,37,0.4167
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,35,0.3314
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,38,0.4173
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,43,0.5296
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,40,0.4615
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,37,0.3806
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,39,0.446
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,47,0.7181
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,43,0.618
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,37,0.3653
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,34,0.321
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,44,0.5775
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,35,0.3309
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,32,0.208
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,37,0.3395
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,35,0.3059
7/6/2022,2022,July,390,Pt Wrangell,walleye pollock,40,0.3969
7/5/2021,2021,July,280,Agripina,walleye pollock,34,0.2399
7/5/2021,2021,July,280,Agripina,walleye pollock,37,0.3436
7/9/2021,2021,July,290,Mitrofania,walleye pollock,41,0.3356
7/28/2021,2021,July,326,Rodman Reach,walleye pollock,63,1.3378
7/5/2021,2021,July,278,Agripina,walleye pollock,41,0.398
7/5/2021,2021,July,278,Agripina,walleye pollock,32,0.1908
7/5/2021,2021,July,278,Agripina,walleye pollock,33,0.2177
8/6/2021,2021,Aug,346,Ugak ,walleye pollock,37,0.3905
8/6/2021,2021,Aug,346,Ugak ,walleye pollock,42,0.4922
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,73,2.2755
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,58,1.4775
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,67,2.1129
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,76,3.8739
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,63,1.8197
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,66,2.0314
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,70,2.5949
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,63,1.8396
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,62,1.7523
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,67,2.2734
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,67,2.1149
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,59,1.3785
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,60,1.6788
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,60,1.3746
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,63,1.8922
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,68,2.3982
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,54,1.085
8/6/2021,2021,Aug,343,Ugak ,walleye pollock,54,1.3565
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,68,2.2375
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,67,1.9864
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,71,2.5654
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,52,0.9308
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,67,2.1643
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,61,1.3406
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,65,1.9621
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,70,2.5711
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,71,2.556
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,65,1.7881
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,70,2.2317
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,64,1.8025
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,72,2.6775
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,69,2.2888
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,81,3.3832
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,67,2.0755
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,70,2.1933
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,70,2.2344
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,61,1.6635
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,70,2.4955
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,69,2.1383
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,69,2.2138
8/20/2021,2021,Aug,xxx,Cooks,walleye pollock,67,2.262
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,46,0.4643
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,50,0.7741
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,45,0.4572
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,44,0.4123
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,50,0.6577
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,48,0.6967
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,43,0.4178
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,51,0.8223
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,43,0.4456
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,43,0.4911
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,42,0.4371
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,48,0.6376
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,47,0.6601
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,46,0.6755
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,48,0.6453
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,45,0.5479
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,48,0.624
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,49,0.72
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,52,0.7564
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,43,0.5081
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,36,0.2797
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,47,0.6634
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,42,0.4368
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,51,0.7858
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,45,0.5274
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,36,0.2993
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,42,0.3439
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,41,0.3641
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,50,0.7941
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,47,0.6559
7/8/2020,2020,July,214,Pt Wrangell,walleye pollock,32,0.2233
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,73,2.3855
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,70,1.8131
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,78,2.6187
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,67,1.5072
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,70,1.8101
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,75,2.3077
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,82,3.6907
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,74,2.0603
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,66,1.3893
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,65,1.687
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,72,2.2814
7/28/2020,2020,July,249,Rodman Reach,walleye pollock,57,0.8524
7/12/2020,2020,July,219,Mitrofania,walleye pollock,39,0.262
7/12/2020,2020,July,219,Mitrofania,walleye pollock,49,0.8441
7/12/2020,2020,July,219,Mitrofania,walleye pollock,45,0.5805
7/12/2020,2020,July,219,Mitrofania,walleye pollock,47,0.5151
7/12/2020,2020,July,219,Mitrofania,walleye pollock,49,0.6635
7/12/2020,2020,July,219,Mitrofania,walleye pollock,50,0.5816
7/12/2020,2020,July,219,Mitrofania,walleye pollock,52,0.8462
7/12/2020,2020,July,219,Mitrofania,walleye pollock,55,0.917
7/12/2020,2020,July,219,Mitrofania,walleye pollock,42,0.4551
7/12/2020,2020,July,219,Mitrofania,walleye pollock,50,0.6292
7/12/2020,2020,July,219,Mitrofania,walleye pollock,45,0.4683
7/12/2020,2020,July,219,Mitrofania,walleye pollock,52,0.78
7/12/2020,2020,July,219,Mitrofania,walleye pollock,57,0.5905
7/12/2020,2020,July,219,Mitrofania,walleye pollock,58,0.6638
7/12/2020,2020,July,219,Mitrofania,walleye pollock,59,0.6304
7/12/2020,2020,July,219,Mitrofania,walleye pollock,43,0.4105
7/12/2020,2020,July,219,Mitrofania,walleye pollock,47,0.5226
7/12/2020,2020,July,219,Mitrofania,walleye pollock,47,0.6002
7/12/2020,2020,July,219,Mitrofania,walleye pollock,54,0.8499
7/12/2020,2020,July,219,Mitrofania,walleye pollock,38,0.3013
7/12/2020,2020,July,219,Mitrofania,walleye pollock,37,0.2758
7/12/2019,2019,July,145,Mitrofania,walleye pollock,68,1.836
7/12/2019,2019,July,145,Mitrofania,walleye pollock,61,1.4099
7/17/2019,2019,July,152,Balboa,walleye pollock,60,1.2348
7/17/2019,2019,July,152,Balboa,walleye pollock,52,0.8615
7/17/2019,2019,July,152,Balboa,walleye pollock,55,1.118
7/17/2019,2019,July,152,Balboa,walleye pollock,49,0.7442
7/17/2019,2019,July,152,Balboa,walleye pollock,49,0.6988
7/17/2019,2019,July,152,Balboa,walleye pollock,50,0.8418
7/17/2019,2019,July,152,Balboa,walleye pollock,52,0.7739
7/17/2019,2019,July,152,Balboa,walleye pollock,54,0.8985
7/17/2019,2019,July,152,Balboa,walleye pollock,47,0.7441
7/17/2019,2019,July,152,Balboa,walleye pollock,55,0.627
7/17/2019,2019,July,152,Balboa,walleye pollock,51,0.6478
7/17/2019,2019,July,152,Balboa,walleye pollock,54,0.9142
7/17/2019,2019,July,152,Balboa,walleye pollock,50,0.808
7/17/2019,2019,July,152,Balboa,walleye pollock,46,0.6356
7/17/2019,2019,July,152,Balboa,walleye pollock,52,0.7578
7/17/2019,2019,July,152,Balboa,walleye pollock,56,0.8836
7/17/2019,2019,July,152,Balboa,walleye pollock,57,0.8338
7/12/2019,2019,July,143,Mitrofania,walleye pollock,55,0.9231
7/12/2019,2019,July,143,Mitrofania,walleye pollock,57,1.127
7/12/2019,2019,July,143,Mitrofania,walleye pollock,61,1.1579
7/12/2019,2019,July,143,Mitrofania,walleye pollock,51,0.7409
7/12/2019,2019,July,143,Mitrofania,walleye pollock,58,0.842
7/12/2019,2019,July,143,Mitrofania,walleye pollock,55,0.7976
7/12/2019,2019,July,143,Mitrofania,walleye pollock,58,0.9375
